"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"2",40,"K","2",57.7152786254883,15.474275,1.419,"2",150252.853108969,4924.83094728862
"2",4.79,"P","3",213.925491333008,51.88757,4.859,"1",2433.33333333333,70966.6666666667
"2",8.8,"P","2",103.770095825195,56.846915,3.354,"2",174329.258663508,485572.144557183
"2",6.24,"P","2",118.806953430176,13.1011,4.902,"2",270876.655436197,575263.874361108
"2",4.8,"P","3",157.049087524414,21.240625,2.709,"2",149280.800422021,71220.1643252874
"2",10.5,"P","2",141.96533203125,71.231593,1.548,"1",126158.143946798,78777.033186052
"1",3.4,"P","2",117.594749450684,92.8125,0.5246,"1",19172.2745453046,17700
"2",22.3,"P","2",128.929260253906,86.601589,0.9718,"1",143217.271517077,242795.480429777
"2",16.3,"P","2",123.350952148438,43.574127,1.72,"2",412369.732878431,1248.00015107418
"1",69.99,"P","2",145.104843139648,74.16254,2.322,"1",0,200
"1",10,"P","2",208.144973754883,76.44378,1.032,"1",5100,47768.0384225561
"1",6,"P","2",192.687896728516,40.3407,1.548,"2",8300,27719.5213383815
"2",6.48,"K/P","1",180.728424072266,61.69382,2.064,"1",2466.66666666667,65098.2055583193
"2",20.1,"P","2",197.978805541992,19.80803,3.3282,"1",0,14433.3333333333
"1",4.7,"P","2",254.817962646484,92.8125,1.677,"1",0,792.787090937297
"2",3.9,"P","2",91.4324493408203,32.983565,3.01,"1",4.31677550077438,2430.81507726262
"1",10.36,"P","3",196.852890014648,19.74599,2.666,"2",4633.33333333333,84781.2415135872
"1",44,"P","2",49.9782943725586,35.59385,1.29,"1",0,12250.1259043677
"2",43,"P","2",198.276153564453,17.36972,1.978,"3",72396.3222892489,164217.26012002
"2",8.2,"P","2",153.761672973633,16.80542,1.634,"3",123560.141277172,291701.883995991
"1",5.3,"K","1",209.437164306641,22.5938,2.3822,"1",4533.33333333333,7233.33333333333
"2",49,"K","1",99.6924285888672,20.3197,4.7558,"1",0,31144.1143405934
"1",4.94,"P","2",135.436676025391,92.8125,1.118,"1",0,79501.7981430516
"1",0.869999999999997,"P","2",58.392391204834,92.8125,2.408,"1",0,366.666666666667
"2",7.37,"P","2",126.840667724609,21.77217,2.494,"3",5373.05844483587,485155.650863694
"1",19,"P","2",56.1797485351562,86.95315,0.946,"1",12000,53396.0518197739
"2",14.65,"P","2",136.107315063477,92.8125,1.0664,"1",28300,47662.4034158963
"1",38.15,"P","2",140.36653137207,65.5313,3.87,"1",0,256708.823340226
"1",10,"K","2",22.5431499481201,19.24891,2.322,"2",0,21130.807438617
"1",27,"K/Ka","2",89.7314834594727,18.252515,2.15,"3",0,51296.3320581747
"2",5,"P","2",69.071662902832,46.94383,1.505,"2",59081.9659938221,26917.7165447317
"2",8,"K/Ka","2",120.698959350586,13.6537,2.279,"1",21933.3333333333,13510.4931409626
"2",19.1,"K","1",124.519416809082,26.08095,2.58,"1",98.7076063950856,23766.6666666667
"2",10,"P","2",248.533355712891,92.8125,0.774,"1",19603.7483669507,41699.161810459
"1",12.39,"P","2",93.8925552368164,15.8843,1.032,"2",28966.6666666667,71033.8055850685
"1",2.45,"P","3",243.491928100586,51.88757,4.859,"1",732.830397288005,15767.5939324312
"1",33,"P","2",93.640007019043,69.4188,1.29,"1",0,57566.6666666667
"1",18.99,"K","1",165.224319458008,67.05002,1.161,"1",33.3333333333333,11510.5033945292
"1",5,"P","3",253.930755615234,42.66258,1.634,"2",0,46920.1891163985
"1",3.8,"P","2",202.880310058594,92.8125,0.5246,"1",0,32001.7192078133
"1",23.04,"K/P","2",85.1417846679688,18.277892,0.817,"2",0,29116.4645031998
"2",39.41,"K/Ka","3",172.748977661133,18.73488,1.806,"3",0,11045.7453601062
"1",15,"P","2",102.873275756836,13.10458,1.548,"1",0,18915.0174001853
"2",7.5,"P","2",175.401885986328,92.8125,0.8686,"1",10967.6364980017,31103.4477993225
"1",4.6,"P","2",54.8719177246094,13.7969,2.58,"2",175213.256464488,270471.091363142
"1",22.5,"P","3",213.845397949219,36.984475,2.58,"2",11423.8122769942,20285.1367836808
"1",6,"P","2",205.307922363281,92.8125,0.5246,"1",3733.33333333333,24007.7704540288
"2",6.48,"P","2",131.4150390625,16.055765,3.741,"1",49990.9928074034,717942.592128231
"1",7.1,"P","3",265.443817138672,34.2251,2.193,"1",1542.31798872352,27309.9040871137
"1",5.2,"P","3",241.054168701172,18.73488,1.763,"1",3033.33333333333,20654.097723536
"1",66,"P","1",160.398681640625,66.5625,1.032,"2",229123.935290007,2048.54875703653
"1",7.2,"K","2",150.62158203125,65.5313,1.6125,"1",71.258211415261,55283.6681941524
"2",30,"K/Ka","2",119.100593566895,20.369375,1.333,"1",0,28241.3335494697
"2",13,"P","2",261.4619140625,92.8125,0.86,"1",34735.7898886626,11385.9975575809
"1",75,"K","1",50.7296142578125,22.5001,1.47428571428571,"1",40925.3810746421,28695.5579979481
"2",12.1,"K","2",160.021865844727,71.231593,1.548,"1",0,10617.4473368464
"1",23.8,"P","2",68.2679672241211,86.95315,0.946,"1",8300,33051.9933312976
"1",22,"P","2",188.907592773438,36.60635,1.548,"2",200,133.333333333333
"1",2.12,"P","2",55.7637557983398,84.95315,3.01,"1",109383.959247385,3434.88867728302
"2",3.6,"K/Ka","1",78.7490158081055,20.2530333333333,0.43,"1",87976.8718748828,31623.6189553019
"2",15.3,"P","3",151.323669433594,27.492265,1.548,"2",14666.6666666667,325199.200330843
"1",3.08999999999997,"K","1",145.568054199219,21.92285,3.182,"3",66.6666666666667,4133.33333333333
"2",8.75,"P","3",197.835357666016,27.492265,1.548,"2",100,86703.6451236537
"1",9,"K/Ka","1",79.3135604858398,13.5289,1.806,"3",327931.043071414,42417.5269780875
"1",46,"K","1",68.7467498779297,26.08095,2.58,"1",33.3333333333333,18433.3333333333
"1",26,"P","2",116.668876647949,88.882825,0.645,"1",11838.8052253984,592105.609019138
"2",4.11,"P","2",164.04899597168,25.8938,5.16,"2",142308.727182999,114248.274307802
"2",12,"P","2",214.811340332031,85.78128,1.806,"1",966.666666666667,77409.9482588159
"1",13,"P","2",135.255279541016,92.8125,2.064,"1",5566.66666666667,156108.604069442
"2",11,"P","2",179.359344482422,77.0938,2.8638,"1",633.333333333333,20600
"2",10.5,"P","2",149.101257324219,42.88756,4.816,"2",59870.4160799583,20435.9070442237
"2",6,"P","3",185.004989624023,45.845405,1.548,"2",33.3333333333333,31424.3222403917
