"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_10","area_sentinel_id_7","area_sentinel_id_9"
"2",5.5,"P","2",193.923828125,92.8125,2.064,"1",714488.337859423,13600,0
"1",4.24,"P","2",42.6043434143066,12.9465,4.171,"2",318050.302578982,136861.045150441,48483.8847868377
"1",7.55,"P","2",56.8693199157715,71.831295,2.279,"2",586924.99724991,144218.129621303,4330.62511705793
"1",15.35,"K","1",59.5801734924316,39.3626,1.548,"1",0,33.3333333333333,11733.3333333333
"2",7,"P","2",71.5289306640625,92.8125,2.236,"1",442333.41248882,48718.8115452571,1048.96600414068
"1",5.5,"P","2",35.0378341674805,39.16878,1.3416,"2",338671.069553716,0,3700
"2",4,"P","2",146.327453613281,84.95315,0.946,"1",1125718.84659001,2615.82270618528,10633.3333333333
"1",11,"P","2",107.793594360352,92.8125,1.376,"1",35411.9906446386,49705.8346329878,99380.9565020879
"1",8,"P","2",90.1897964477539,92.8125,1.376,"1",104280.364722966,131.343712409337,2833.33333333333
"1",14,"P","2",87.9260330200195,92.8125,1.29,"1",47377.4464520859,44315.6522557139,0
"1",16,"P","2",79.7035140991211,14.21438,2.666,"2",0,0,0
"2",3.5,"P","3",200.273666381836,26.55632,1.72,"1",594521.827668928,0,2166.66666666667
"1",58,"K/Ka","2",192.049743652344,20.369375,1.333,"1",54608.3365267453,1097.99215570092,19802.131928408
"1",48,"P","2",91.3906784057617,92.8125,0.9288,"1",12402.9325158229,182526.072867348,0
"1",34,"P","2",121.925750732422,12.9465,1.548,"1",370970.407727647,60560.5030164666,0
"1",14.7,"P","2",95.73583984375,86.64376,1.032,"1",112496.479649264,66.6666666666667,587.007072178919
"1",29,"P","3",136.494018554688,45.000075,4.515,"2",796410.773317554,33.3333333333333,200
"1",16,"P","2",116.250129699707,92.8125,2.322,"1",471303.907255389,29666.6666666667,33.3333333333333
"2",22,"P","1",201.835159301758,66.5625,1.032,"2",531571.848690954,33.3333333333333,23881.0284466793
"1",5,"P","2",219.025283813477,16.80542,1.634,"3",23644.6535660575,1900,2166.66666666667
"1",6.2,"P","3",194.842590332031,45.845405,1.548,"2",479829.891088112,0,4866.66666666667
"1",9.15,"P","3",247.91731262207,57.517868,5.1686,"2",246889.77008455,0,9496.88712349162
"1",35,"P","2",82.8168182373047,59.62508,1.29,"1",53617.8447774922,333.333333333333,40012.2323373255
"1",22.2,"P","2",112.608589172363,83.625,0.946,"1",154221.985202713,1337.87102301915,0
"1",18.5,"P","2",69.3365936279297,92.8125,2.064,"1",667489.08128842,44804.3914289447,214162.957953716
"1",31,"P","2",121.579139709473,12.9465,1.548,"1",375243.867509011,60646.4964971815,0
"1",6.8,"P","2",95.2712326049805,52.12664,1.763,"2",154560.833983028,14426.1555675184,17696.2434401619
"1",7.5,"K","2",96.6993637084961,65.5313,1.6125,"1",340493.394260425,0,21300
"2",18.8,"P","2",53.9385833740234,84.023475,1.29,"1",271191.608428014,168972.899261668,6323.67386066665
"1",27,"P","2",133.38835144043,78.66567,1.548,"1",487321.324688794,66.6666666666667,10135.6199751298
"1",15.5,"P","2",179.567276000977,92.8125,0.8686,"1",292855.27688324,23766.6666666667,33.3333333333333
"1",26,"P","2",157.167114257812,92.8125,1.892,"1",763778.999522298,26964.2641683342,66.6666666666667
"1",26,"P","2",175.911117553711,89.7375,0.946,"1",445739.442004499,0,0
"2",14,"P","2",92.0555114746094,89.7375,0.946,"1",610695.032897814,35850.2827388234,4650.48987743018
"1",25.5,"K/Ka","2",172.313049316406,15.04934,1.118,"2",0,22922.1977550886,33.3333333333333
"1",6.5,"P","2",111.919013977051,54.37193,1.548,"2",309173.942246909,0,1026.07831129183
"1",2.6,"K/Ka","2",95.7393493652344,22.5938,2.3822,"1",199857.761980838,5633.33333333333,10771.9178551808
"1",12,"P","2",169.575286865234,89.7375,0.946,"1",326475.32275092,42517.137436072,0
"1",6,"P","2",188.84553527832,92.8125,0.8686,"1",250464.344288394,8700,0
"1",9.14,"K/P","2",99.9528350830078,32.979955,1.677,"2",78679.8271907794,0,122029.25776212
"2",6,"P","2",160.761291503906,19.74599,2.666,"2",352745.498682313,33.3333333333333,6333.33333333333
"2",5,"P","2",48.863037109375,92.8125,2.236,"1",299548.77898273,36698.8440942019,0
"1",7.5,"K","2",95.7384567260742,15.22387,2.322,"2",14123.1222217282,1933.33333333333,42015.4187938975
"1",10.8,"P","2",327.703460693359,44.80633,3.354,"1",163761.741350209,0,0
"1",13.5,"P","2",176.217956542969,70.648455,0.86,"2",484647.925968808,3900,466.117312774683
"1",4.27,"P","2",159.287612915039,92.8125,2.064,"1",757282.280088796,3038.76942098141,19293.7438708968
"1",4.8,"P","2",127.280654907227,92.8125,1.247,"1",271120.692719292,40873.9896926585,0
"1",20.5,"P","2",101.109619140625,92.8125,2.408,"1",0,5129.08873624401,9595.61254547831
"1",12,"P","2",118.974395751953,21.77217,2.494,"3",27699.6307605819,0,65749.8160146851
"1",3.02,"P","3",161.492950439453,21.17029,1.548,"2",223805.543721097,10570.402126379,15220.4021645244
"1",24.7,"K","2",97.812370300293,69.73597,0.387,"1",10333.3333333333,621.730112098157,33.3333333333333
"1",12.7,"P","2",44.2825889587402,92.8125,0.1677,"1",55866.6666666667,22188.8630986214,106366.666666667
"1",15.3,"P","2",206.981872558594,16.80542,1.634,"3",74266.5456671889,1900,8971.78095321481
"1",16.92,"P","2",158.638153076172,92.8125,0.8686,"1",187251.395394614,8395.5810388977,0
"1",5.5,"P","3",239.220184326172,20.52023,2.064,"1",10306.2396356836,0,2985.69320055346
"2",6,"P","2",139.505432128906,77.0938,0.774,"1",134693.185632862,3300,14023.3659530679
"1",23.5,"K/Ka","2",82.6706695556641,11.741154,0.774,"3",0,54159.0088270328,0
"1",16,"P","2",146.963882446289,71.231593,1.548,"1",850212.022861817,5077.90162620756,3933.33333333333
"1",6,"P","2",90.6615295410156,82.06253,0.774,"1",7795.34338518667,0,18433.3333333333
"2",8.46,"P","2",132.330657958984,82.06253,0.774,"1",244846.396075669,0,0
"1",24,"P","2",44.8610649108887,86.015654,1.591,"1",5061.5929124256,3791.20632062356,6933.33333333333
"1",9,"P","2",166.069885253906,89.7375,0.946,"1",445302.661784358,72.9526976744334,565.003818585925
"1",5,"P","2",69.071662902832,46.94383,1.505,"2",275883.461084297,19498.0321070469,3100
"1",10,"P","2",106.632942199707,84.475329,0.3182,"1",0,0,0
"1",10,"P","2",137.979690551758,92.8125,1.0664,"1",122040.501976673,0,3366.66666666667
"2",9.2,"K","2",19.2443389892578,14.21438,3.44,"2",216587.203020203,23103.2611316623,0
"1",10.1,"P","2",157.410995483398,84.475329,0.3182,"1",0,0,3266.66666666667
"1",31.5,"P","2",143.120635986328,89.7375,0.946,"1",917942.72675683,17507.910905856,10500
"1",8,"P","2",139.248016357422,67.13132,1.376,"1",141031.83545271,300,17033.3333333333
"1",4.1,"K/Ka","1",82.001953125,22.5938,2.236,"1",27650.9003159357,133.333333333333,80895.0351925513
"1",1.7,"P","3",129.541549682617,51.9032,1.29,"1",267810.371632623,17833.3333333333,19717.8254786258
"2",8,"P","2",71.7914505004883,86.601589,1.29,"1",36037.8791921574,18881.0569499658,0
"1",13.5,"P","3",195.051849365234,54.37193,1.548,"2",683058.542285916,26733.3333333333,15099.4358261426
"2",5,"P","2",136.236846923828,45.845405,1.548,"2",587546.956939768,100,31514.6993339683
"1",9,"P","2",43.2319679260254,15.474275,1.419,"2",0,0,0
"1",20.6,"P","3",147.589981079102,19.74599,2.666,"2",5712.16537151486,0,4674.37481945381
"1",34,"K","2",54.6881217956543,78.2366571428571,0.798571428571428,"1",5967.03551113605,11550.9961607905,13812.0872974861
"1",1,"P","2",132.118789672852,89.7375,0.946,"1",67317.3376951453,0,0
"1",13.2,"P","2",11.2667684555054,72.978175,1.376,"1",416758.243001315,37442.3547625355,1700
"1",10,"K","2",26.2685108184814,14.054969,2.2704,"2",311749.821284548,133226.597290241,3266.66666666667
"1",0,"K/Ka","2",161.010025024414,24.68757,1.935,"2",152681.533806271,3433.33333333333,0
"1",6,"K","2",127.146812438965,39.93601,1.419,"1",259949.100675443,0,0
"1",1,"P","2",211.027847290039,92.8125,1.677,"1",1032213.79383053,0,0
"2",18.8,"P","2",72.1561965942383,86.601589,0.9718,"1",133451.367641985,40515.6431805706,8733.33333333333
"1",9,"P","2",208.318389892578,16.80542,1.634,"3",21984.7807016963,1900,11519.7787677248
"1",10,"K","1",166.678833007812,14.4927,1.72,"2",0,66263.3960722635,27577.2535228015
"2",7,"P","2",143.765167236328,86.601589,0.9718,"1",1076297.61932446,2366.66666666667,0
"1",6.40000000000001,"P","3",217.385009765625,61.07191,2.064,"2",4333.33333333333,0,100
"2",3,"P","2",248.902191162109,86.601589,0.9718,"1",1097865.39893193,275.454414884249,33.3333333333333
"2",5.04,"P","2",206.776397705078,92.8125,1.892,"1",925663.160309639,0,0
"2",6.2,"P","2",115.752784729004,92.8125,1.892,"1",845624.018123487,22566.6666666667,0
"1",3.52000000000001,"K/P","1",165.952392578125,45.3126,1.806,"2",355156.446851113,33.3333333333333,13079.4357980291
"1",1.49,"P","2",158.596221923828,15.81258,3.354,"3",499470.48693743,2133.33333333333,0
"1",16,"K/Ka","2",213.206039428711,23.737556,1.7028,"1",16843.7213324398,0,0
"1",28,"P","2",153.983184814453,86.601589,0.9718,"1",56365.0118717613,102110.11189497,0
"1",10,"K/Ka","2",17.1142768859863,14.21438,3.44,"2",657085.054123607,108611.307025989,25914.3020447499
"1",9,"P","2",20.8377552032471,73.82815,0.946,"1",43358.1868737602,64552.5969749666,18300
"1",3,"P","3",184.615646362305,60.47505,1.548,"2",105780.953242608,0,2400
"1",19,"P","3",296.563171386719,53.33288,2.451,"1",134628.087446001,2833.33333333333,84960.6309087326
"2",30,"P","2",143.212448120117,92.8125,0.8686,"1",1536439.03957917,5700,0
"1",5,"P","2",132.372695922852,92.8125,2.064,"1",1349392.5211824,5047.07067230095,0
"1",24.5,"K/Ka","2",121.77970123291,20.66434,2.15,"3",95398.9285678992,0,0
"2",15,"P","2",53.5305519104004,38.6782,1.72,"2",413222.748496189,22457.0090415111,0
"2",5.25,"P","2",117.478958129883,21.29248,1.978,"3",238976.691224957,600,17900
"1",2.3,"P","2",111.425331115723,89.7375,0.946,"1",355026.394186397,14800,5400
"2",8.84999999999999,"P","2",201.506942749023,92.8125,2.064,"1",1053724.61669343,69022.2775572445,0
"1",16.79,"P","3",208.338043212891,54.37193,1.548,"2",824495.916325062,26933.3333333333,9435.61039442041
"2",4,"K","1",120.920768737793,22.5938,2.3822,"1",64433.3333333333,356.215826670329,0
"1",19,"P","2",21.6020774841309,45.65005,1.548,"2",98960.2159079591,1700,9144.93316761218
"2",30,"P","2",130.558670043945,56.846915,3.354,"2",52150.0376700472,18066.6666666667,12917.0914890245
"2",6.4,"P","2",99.0510711669922,79.8938,0.86,"1",329786.340191081,252999.109547461,0
"2",7.1,"P","2",258.305908203125,92.8125,0.86,"1",1005739.65007575,366.666666666667,0
"1",33,"P","2",205.929977416992,92.8125,0.5246,"1",1198340.22735466,2633.33333333333,0
"2",16,"P","2",155.875732421875,86.601589,0.9718,"1",345024.187286534,6433.33333333333,0
"2",9.07,"P","2",71.6938858032227,46.94383,1.505,"2",394909.389617465,0,41267.8062694316
"1",14.4,"P","2",87.8270645141602,92.8125,0.9288,"1",1368.93810331821,70575.3632987102,0
"1",8,"K/Ka","1",73.3013000488281,13.727677,3.354,"2",0,14938.5245100285,0
"1",12.04,"P","3",161.692016601562,72.88128,1.806,"1",35072.102179351,0,6019.5830728393
"2",10,"P","2",147.797973632812,92.8125,2.064,"1",843183.533246919,14265.9488015556,3566.66666666667
"1",4.5,"P","3",162.353988647461,17.11544,1.548,"3",98005.0385918788,0,461.62400059402
"1",17.5,"P","3",184.344909667969,15.8843,2.666,"2",561404.789577888,0,10733.3333333333
"1",6.75,"K","1",88.726806640625,78.2938,0.903,"1",657254.779913083,0,3666.66666666667
