"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_10","area_sentinel_id_7","area_sentinel_id_9"
"1",8,"K/Ka","2",60.5505905151367,18.252515,2.15,"3",22083.5215065007,0,5800
"1",7.8,"P","3",263.378997802734,72.193776,2.1328,"1",53295.3754448642,0,0
"1",12,"K/Ka","2",137.243103027344,22.5938,2.3822,"1",66003.7320242945,0,2166.66666666667
"1",3.7,"P","2",127.971939086914,70.33129,0.946,"1",355138.901686461,148874.486869187,29872.6704672445
"1",27,"P","3",118.994514465332,63.57035,1.419,"1",286075.74912336,0,0
"1",18.5,"K/Ka","1",92.1061477661133,16.42825,1.548,"3",130508.534996217,66.6666666666667,0
"1",10,"P","3",256.238128662109,45.845405,1.548,"2",599092.081534507,6766.66666666667,17121.7031786839
"1",8,"P","2",123.562438964844,92.8125,1.247,"1",275524.097652522,5864.83392668888,0
"1",4.1,"P","3",192.673751831055,26.55632,1.72,"1",601846.550161177,8535.90412549675,42533.3333333333
"1",11,"P","2",147.575439453125,56.44382,2.15,"1",856312.60363282,12944.773720329,66.6666666666667
"1",9.65,"P","2",199.041366577148,92.8125,1.247,"1",799487.025240399,60142.5315074273,14105.6016230335
"2",14.55,"P","2",108.329772949219,13.03926,2.15,"2",295597.739913891,0,39217.159692101
"1",18.85,"P","2",180.387985229492,92.8125,1.0664,"1",40934.6720490605,0,6300
"1",4.4,"P","3",212.519256591797,34.440725,1.677,"2",764460.322080924,833.333333333333,233.333333333333
"1",23.8,"P","2",68.2679672241211,86.95315,0.946,"1",380217.057408359,3633.33333333333,14615.0460938457
"1",6,"K","2",79.3356170654297,20.7233,1.72,"2",539330.754687789,2933.33333333333,54543.7702617043
"1",20.5,"P","2",228.972885131836,92.8125,0.8686,"1",776751.440481713,0,0
"2",4.1,"P","3",197.351501464844,26.55632,1.72,"1",785169.372445379,0,16233.3333333333
"1",20,"K","2",428.966613769531,79.1625,14.8608,"1",66.6666666666667,0,0
"1",6.3,"K/Ka","2",51.6995010375977,22.5938,2.236,"1",55332.6925841024,1984.91197725137,61997.1431338306
"1",19.1,"P","2",114.004188537598,92.8125,0.774,"1",195935.442512756,3533.33333333333,2500
"2",5.5,"P","1",153.409255981445,27.54695,3.225,"2",270573.083120788,0,4783.81288820722
"1",7,"P","2",82.2037887573242,92.8125,2.064,"1",492846.345122299,130.866734186808,295.957597965995
"1",3,"P","3",274.450134277344,15.1885,3.612,"2",691405.547242953,4433.33333333333,19122.2671320041
"1",2.8,"P","3",205.351699829102,28.28132,3.053,"1",119118.62843654,66.6666666666667,0
"1",17.4,"P","2",204.275238037109,92.8125,0.8686,"1",2900,200,833.333333333333
"1",9.7,"K","1",198.754669189453,72.193776,2.1328,"1",187508.893427022,0,7542.76944895585
"2",16,"P","3",273.150451660156,15.8843,2.666,"2",172578.91868907,0,4431.20059344801
"1",44.33,"K/P","2",171.114959716797,54.700055,1.9608,"1",191607.689406676,76.438311735789,22382.8198526055
"1",6.5,"P","2",20.397144317627,55.59852,3.483,"2",66.6666666666667,0,0
