"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_1","area_sentinel_id_10","area_sentinel_id_12","area_sentinel_id_13","area_sentinel_id_14","area_sentinel_id_15","area_sentinel_id_16","area_sentinel_id_17","area_sentinel_id_18","area_sentinel_id_19","area_sentinel_id_2","area_sentinel_id_20","area_sentinel_id_21","area_sentinel_id_3","area_sentinel_id_4","area_sentinel_id_7","area_sentinel_id_9"
"2",13,"P","2",193.423690795898,17.36972,1.978,"3",140305.748169116,137996.27877295,31497.6639591128,3633.5361532867,56537.8913305933,1000,48766.6666666667,0,110108.184221759,0,140804.587317157,92187.8771629805,96305.3620409531,8100,109148.135004391,6900,3600
"2",3.5,"P","3",186.04460144043,64.83756,2.5542,"1",297091.673240691,472751.635414243,51316.6582469499,0,33.3333333333333,0,5419.06166079765,0,7941.97514727906,0,200948.424021544,228558.742019514,30281.1082682922,2700,261947.64871427,0,16045.7972839475
"2",20,"P","2",218.084548950195,92.8125,0.8686,"1",16866.6666666667,1506079.12428762,41222.8001185538,0,40805.5451919635,77894.9944683346,15458.3402151264,0,50203.1090298047,0,45963.263988914,197699.483231804,66.6666666666667,415882.925688284,204033.350274217,19466.6164497534,12339.2178493241
"1",23,"P","1",206.361404418945,29.69186,5.719,"1",73516.2228923136,46513.7837303802,0,0,10504.2314488441,35009.899228237,20235.5876245225,0,35830.0945194128,0,38680.4090701664,136229.895094138,17984.050776693,31735.8581652244,328564.524138766,17200,22684.733578035
"2",8,"P","3",193.891143798828,37.290725,0.731,"1",77147.3806132249,168067.066317905,48874.2954408954,0,0,0,8352.45099508514,0,366.666666666667,0,77399.6374316562,122783.628459643,2766.66666666667,0,33053.1018216784,0,11633.3333333333
"1",8.2,"K","2",126.170234680176,14.70918,2.494,"2",1186567.65524991,72523.0832025409,358379.594092538,0,377449.545430399,0,25322.8148235784,0,12400,0,276589.676459504,126668.404536791,0,2387.4178690215,8633.33333333333,8133.33333333333,9362.29052431881
"2",5,"K/Ka","2",80.9832458496094,22.5938,2.3822,"1",540368.706396154,165779.710375165,53750.0793044145,100,328359.02223477,30925.7073437465,120220.835776307,0,132582.119608514,0,256940.07513025,253927.170637595,80884.773481418,10179.4840100221,38866.9877161282,0,12404.7467110834
"2",3.7,"P","2",127.971939086914,70.33129,0.946,"1",397218.87719092,355138.901686461,357205.97940034,0,0,9700,4782.6658119758,0,8500,0,609023.855659112,157566.546046625,0,537119.057525217,46370.6533587848,148874.486869187,29872.6704672445
"2",5,"P","3",180.953628540039,19.74599,2.666,"2",7784.61665995419,509033.035193526,0,9081.50697142507,4801.05841557912,288.893757015467,299690.238344058,141650.485012603,236848.193059323,0,73864.3671809385,145759.140190505,237800.593961153,5566.66666666667,105344.284108053,1866.66666666667,0
"2",6.5,"P","2",67.8282775878906,86.95315,1.376,"1",0,206003.927858904,395565.36661498,6366.66666666667,0,0,0,0,0,0,733547.455338847,14138.7001206477,0,886440.774371222,0,2233.33333333333,47807.6815080984
